month;constrrf;durblrf;foodrf;hml;jan;rf;rmrf;smb
199207;6,13;4,79;4,75;-0,49;0;0,31;3,68;-0,37
199208;-0,43;-2,42;1,29;-1,1;0;0,26;-2,34;-0,11
199209;2,3;3,05;0,82;-0,2;0;0,26;0,98;0,58
199210;2,01;-1,84;-1,28;-2,05;0;0,23;0,87;2,06
199211;3,1;6;2,57;-1,51;0;0,23;3,79;3,62
199212;1,76;-0,76;0,07;2,54;0;0,28;1,5;1,65
199301;-0,75;7,91;-1,89;5,83;1;0,23;1,03;2,02
199302;4,06;0,94;-2,53;6,5;0;0,22;0,32;-3,34
199303;1,16;3,07;-0,78;1,22;0;0,25;2,26;0,26
199304;-3,36;-6,08;-11,09;2,64;0;0,24;-2,78;-0,65
199305;2,61;3,08;2,68;-3,42;0;0,22;2,74;1,99
199306;-2,36;-0,57;-0,72;2,62;0;0,25;0,29;-0,29
199307;0,11;1,45;-2,77;3,23;0;0,24;-0,32;0,96
199308;3;7,4;4,04;-0,38;0;0,25;3,7;0,28
199309;-2,48;-0,88;-2,4;-0,43;0;0,26;-0,2;3,08
199310;2,62;4;5,7;-1,62;0;0,22;1,59;1,47
199311;2,7;-0,8;-0,05;-0,34;0;0,25;-2,01;-1,46
199312;0,97;1,03;1,36;0,59;0;0,23;1,72;1,23
199401;2,29;1,86;-0,99;2,15;1;0,25;2,9;0,1
199402;-0,04;-1,59;-1,13;-1,4;0;0,21;-2,63;2,7
199403;-5,06;-3,79;-4,15;1,28;0;0,27;-4,85;-0,89
199404;0,24;-1,94;0,95;1,65;0;0,27;0,68;-0,85
199405;0,92;1,63;-1,63;0,13;0;0,32;0,62;-2,03
199406;-3,48;-2,63;-1,62;1,71;0;0,31;-3,1;-0,49
199407;2,41;2,1;3,15;0,96;0;0,28;2,78;-1,77
199408;5,48;4,22;6,19;-3,49;0;0,37;3,89;1,45
199409;-3,63;-1,98;0,52;-1,8;0;0,37;-2,21;2,69
199410;0,42;-0,66;2,23;-2,34;0;0,38;1,07;-2,18
199411;-4,33;-5,11;-1,3;-0,06;0;0,37;-4,09;-0,17
199412;0,05;0,43;1,17;0,22;0;0,44;0,82;0,05
199501;1,03;0,82;2,04;1,71;1;0,42;1,62;-2,96
199502;2,16;4,64;2,32;0,36;0;0,4;3,56;-0,32
199503;-0,09;3,27;2,6;-2,07;0;0,46;2,24;-0,33
199504;-0,66;1,36;3,26;1,73;0;0,44;2,06;-0,4
199505;1,09;2;4,61;1,95;0;0,54;2,86;-2,22
199506;2,7;0,34;1,22;-2,96;0;0,47;2,65;3,08
199507;3,95;2,35;0,12;-2,2;0;0,45;3,63;2,22
199508;-2,2;0,44;-0,35;1,9;0;0,47;0,46;1,83
199509;1,57;-0,33;7,72;-0,94;0;0,43;3,21;-2,05
199510;-2,78;-2,42;1,33;-0,1;0;0,47;-1,6;-3,99
199511;7,04;5,11;3,89;0,38;0;0,42;3,85;-0,84
199512;1,62;-1,79;1,03;1,41;0;0,49;1,03;0,42
199601;0,94;2,7;2,68;0,36;1;0,43;2,38;-2,44
199602;-2,4;0,66;2,9;-2,28;0;0,39;1,24;2,07
199603;3,68;0,53;-1,85;1,28;0;0,39;0,7;1,33
199604;1,57;4,07;-0,91;-3,96;0;0,46;2,09;4,89
199605;2,91;2,8;6,73;-1,37;0;0,42;2,26;3,22
199606;0,42;-0,75;3,5;1,96;0;0,4;-1,23;-3,66
199607;-5,16;-6,64;-4,79;4,4;0;0,45;-5,83;-3,58
199608;3,13;2,19;0,74;-0,58;0;0,41;2,84;2,3
199609;6,13;4,42;4,22;-3,78;0;0,44;4,86;-0,78
199610;0,7;-2,34;1;4,84;0;0,42;0,94;-4,09
199611;1,73;5,27;3,71;0,2;0;0,41;6,14;-3,55
199612;-1,11;-2,46;-1,23;0,94;0;0,46;-1,6;3,15
199701;3,19;4;6,59;-2,32;1;0,45;4,89;-1,48
199702;-0,26;1,84;2,38;4,76;0;0,39;-0,5;-2,55
199703;-4,78;-6,49;-4,46;3,87;0;0,43;-4,91;-0,31
199704;6,25;5,21;7,08;-1,03;0;0,43;3,8;-5,15
199705;5,97;6,16;4,2;-4,37;0;0,49;6,67;4,8
199706;4,39;4,03;2,85;0,69;0;0,37;4,04;1,52
199707;8,27;-0,07;3,19;-0,39;0;0,43;7,22;-2,42
199708;-7,49;-2,82;-8,75;1,05;0;0,41;-4,04;7,49
199709;4,88;4,08;6,78;-0,29;0;0,44;5,4;2,68
199710;-2,15;-4,31;-3,95;2,3;0;0,42;-3,87;-0,83
199711;2,38;1,23;6,9;1,03;0;0,39;2,66;-5,04
199712;3,17;0,45;3,2;3,82;0;0,48;1,3;-2,34
199801;0,46;1,97;-3,07;-1,82;1;0,43;0,02;-1,02
199802;8,67;7,86;3,94;-0,71;0;0,39;6,93;0,23
199803;7,74;4,92;7,91;1,67;0;0,39;4,74;-1,19
199804;-0,47;2,86;-3,85;0,31;0;0,43;0,66;0,47
199805;1,34;-3,9;1,49;4,27;0;0,4;-2,98;-3,58
199806;0,76;-0,45;3,42;-1,84;0;0,41;2,79;-3,27
199807;-4,36;-0,71;-6,56;-1,15;0;0,4;-2,73;-4,89
199808;-16,96;-14,55;-15,13;5,15;0;0,43;-16,2;-5,7
199809;-0,1;-3,45;-0,45;-3,92;0;0,46;5,92;-0,18
199810;10,3;9,35;11,92;-2,68;0;0,32;7,12;-3,24
199811;7,74;2,65;4,6;-3,31;0;0,31;5,89;1,12
199812;10,91;0,65;-1,29;-4,84;0;0,38;5,93;-0,29
199901;5,72;-1,01;-3,03;-5,47;1;0,35;3,48;0,69
199902;-5,18;-3,99;-3,07;1,74;0;0,35;-4,16;-5,75
199903;4,25;-1,87;-3,02;-2,91;0;0,43;3,36;-3,87
199904;0,05;12,93;3,04;2,48;0;0,37;4,53;3,29
199905;-2,87;-3,2;1,08;2,66;0;0,34;-2,41;3,69
199906;-0,83;4,03;-2,25;-4,21;0;0,4;4,7;3,35
199907;-1,98;-3,85;-1,87;0,53;0;0,38;-3,44;2,2
199908;-4,49;-5,34;-3,31;-0,97;0;0,39;-1,39;-1,24
199909;-1,76;-9,52;-9,82;-3,12;0;0,39;-2,68;3,27
199910;5,02;-2,08;12,04;-3,32;0;0,39;5,81;-6,72
199911;2,2;-2,17;0,72;-7,92;0;0,36;3,32;7,69
199912;16,08;1;-7,53;-9,13;0;0,44;7,93;6,89
200001;-15,45;-8,45;-5,52;0,29;1;0,41;-4,37;4,45
200002;-1,63;-5,3;-9,92;-12,78;0;0,43;2,75;22,19
200003;11,45;2,49;4,19;7,91;0;0,47;4,88;-16,67
200004;-7,1;0,94;-0,52;9,3;0;0,46;-6,41;-7,68
200005;-10,33;-1,4;12,59;3,79;0;0,5;-4,4;-4,79
200006;-1,15;-2,27;3,44;-9,95;0;0,4;4,76;13,81
200007;-0,79;-4,22;1,45;8,38;0;0,48;-2,19;-2,77
200008;-1,33;4,59;-6,46;-1,32;0;0,5;7,08;-0,87
200009;2,21;-12,92;4,69;6,86;0;0,51;-5,62;-1,81
200010;-6,78;0,22;7,08;4,93;0;0,56;-3,02;-3,75
200011;-6,08;-5,41;3,91;12,49;0;0,51;-10,76;-3,15
200012;13,44;4,24;1,62;6,21;0;0,5;1,53;1,53
200101;2,75;9,59;-5,23;-5,64;1;0,54;3,41;6,95
200102;-4,81;0,48;-2,03;13,84;0;0,39;-10,32;-1,13
200103;-0,41;-3,83;-6,3;6,27;0;0,44;-7,47;0,58
200104;5,15;3,53;-1,83;-4,51;0;0,39;8;0,32
200105;3,45;6,12;3,38;2,87;0;0,32;0,74;2,96
200106;-2,08;0,08;-2,71;-2,12;0;0,28;-2,03;6,41
200107;4,34;-2,22;2,37;5,6;0;0,3;-2,13;-4,2
200108;-4,49;0,13;3,85;3,31;0;0,31;-6,22;2,17
200109;-14,84;-16,99;-2,24;1,62;0;0,28;-9,43;-6,53
200110;2,66;6,09;1,1;-7;0;0,22;2,58;6,86
200111;16,39;6,26;0,55;0,83;0;0,17;7,7;0,4
200112;7,33;3,78;2,11;0,39;0;0,15;1,63;5,12
200201;0,08;1,97;-0,16;3,47;1;0,14;-1,74;1,13
200202;1,58;4,65;3,51;3,93;0;0,13;-2,3;-1,67
200203;-1,28;5,28;3,93;1,12;0;0,13;4,34;4,35
200204;-0,65;2,24;2,69;4,2;0;0,15;-5,12;5,83
200205;-3,09;-0,87;0,66;2,47;0;0,14;-1,19;-3,71
200206;-5,56;-5,42;-2,12;1,47;0;0,13;-7,16;3,52
200207;-13,08;-10,34;-8,54;-3,66;0;0,15;-8,26;-5,18
200208;1,92;3,54;0,48;2,18;0;0,14;0,66;-2,19
200209;-12,68;-11,31;-4,86;1,15;0;0,14;-10,14;2,71
200210;4,89;3,59;4,84;-6,51;0;0,14;7,35;-3
200211;-0,07;9,49;-1,42;-1,55;0;0,12;6,01;3,18
200212;-5,03;-4,85;-1,14;3,88;0;0,11;-5,44;-0,52
200301;-6,64;-4,92;-4,55;-0,89;1;0,1;-2,44;1,39
200302;4,88;-1,25;-3,74;-1,46;0;0,09;-1,63;-0,29
200303;2,18;0,57;0,03;-1,71;0;0,1;0,93;0,83
200304;9,61;6,85;3,79;-0,03;0;0,1;8,18;1,12
200305;9,79;4,15;7,06;0,17;0;0,09;6,26;4,71
200306;0,86;-1,65;0,54;0,63;0;0,1;1,53;1,47
200307;0,02;3;-0,44;-2,07;0;0,07;2,24;5,6
200308;5,96;4,31;-0,55;1,78;0;0,07;2,43;2,66
200309;-1,25;-5,69;0,59;0,94;0;0,08;-0,99;0,58
200310;12,27;8,26;4,58;1,81;0;0,07;5,96;2,91
200311;1,49;0,56;2,56;1,39;0;0,07;1,59;2,23
200312;0,73;2,26;3,4;2,68;0;0,08;4,47;-2,81
200401;-1,89;3,62;-0,29;1,63;1;0,07;2,23;2,63
200402;5,14;2,38;4,75;0,36;0;0,06;1,49;-1,19
200403;2,64;-2,76;0,84;0;0;0,09;-1,16;1,85
200404;-5,14;-4,21;1,81;-1,72;0;0,08;-2,5;-2,53
200405;2,16;0,97;-0,26;-0,26;0;0,06;1,35;-0,15
200406;0,18;2,94;1,06;1,68;0;0,08;2,08;2,27
200407;-4,26;-6,55;-6,93;4,41;0;0,1;-3,87;-3,83
200408;5,06;1,17;0,17;1,15;0;0,11;0,16;-1,53
200409;5,85;4,1;-3,45;0,37;0;0,11;1,94;2,84
200410;1,8;-0,76;2,87;-0,93;0;0,11;1,67;0,45
200411;4,16;8,4;2,19;1,91;0;0,15;4,67;4,11
200412;5,02;3,83;4,88;-0,36;0;0,16;3,36;0,2
200501;0,71;-4,26;-0,39;2,47;1;0,16;-2,82;-1,6
200502;2,1;-0,03;-0,34;2,81;0;0,16;2,11;-0,76
200503;-3,76;-3,32;-1,18;1,67;0;0,21;-1,9;-1,31
200504;-4,64;-9,36;0,28;-0,46;0;0,21;-2,73;-3,97
200505;7,07;4,72;2,23;-1,21;0;0,24;3,56;2,99
200506;1,96;0,99;-2,84;2,72;0;0,23;0,92;2,59
200507;10;0,77;1,73;-0,45;0;0,24;4,09;2,77
200508;-3,48;-2,76;-1,31;1,4;0;0,3;-0,89;-0,89
200509;0,42;-4,15;0,14;1,19;0;0,29;0,77;-0,64
200510;-4,67;-3,55;-1,34;-0,71;0;0,27;-2,35;-1,04
200511;5,16;6,5;0,45;-1,81;0;0,31;3,73;1,01
200512;-1,54;0,35;-1,58;0,48;0;0,32;0,03;-0,48
200601;5,55;4,18;0,11;1,13;1;0,35;3,65;5,38
200602;-0,99;2,03;1,23;-0,84;0;0,34;-0,5;-0,37
200603;1,01;4,09;1,45;-0,02;0;0,37;1,54;3,52
200604;-2,05;-2,82;0,77;3,06;0;0,36;0,94;-1,21
200605;-7,04;-4,23;2,9;2,72;0;0,43;-3,53;-2,99
200606;-4,3;-1,73;-0,96;1,48;0;0,4;-0,44;-0,47
200607;-6,64;-3,19;2,22;3,28;0;0,4;-0,59;-3,91
200608;-0,01;3,05;2,33;-1,72;0;0,42;2,09;0,79
200609;0,49;4,14;-0,2;-0,45;0;0,41;1,53;-1,19
200610;4,36;6,83;0,22;0,48;0;0,41;3,3;1,68
200611;3,9;1,47;0,04;0,46;0;0,42;1,95;0,7
200612;1,23;-0,67;1,6;2,55;0;0,4;0,68;-0,9
200701;3,06;1,28;0,74;-0,09;1;0,44;1,5;0,04
200702;-2,11;0,75;-2,07;0,31;0;0,38;-1,78;1,39
200703;-4,99;-0,39;2,46;0,32;0;0,43;0,87;-0,19
200704;2,14;6,66;3,65;-0,96;0;0,44;3,55;-2,11
200705;6,52;1,41;1,92;-0,08;0;0,41;3,48;-0,07
200706;-4,04;-3,36;-1,27;-1,05;0;0,4;-1,87;0,65
200707;-6,11;-7,26;-3,27;-2,97;0;0,4;-3,57;-2,71
200708;0,15;-2,52;2,7;-2,35;0;0,42;0,75;-0,13
200709;-6,28;-2,05;5,62;-2,09;0;0,32;3,77;-2,47
200710;0,91;-0,12;2,39;-1,98;0;0,32;2,26;0,08
200711;-9,18;-7,31;0,71;-0,99;0;0,34;-5,27;-2,74
200712;-2,14;-4,1;0,06;-0,07;0;0,27;-0,7;0,06
200801;3,39;-4,42;-7,55;3,05;1;0,21;-6,44;-0,76
200802;-8,32;-6,19;1,82;0;0;0,13;-2,33;-0,54
200803;0,62;-0,17;2,01;0,19;0;0,17;-1,21;0,85
200804;4,79;-0,74;0,2;0,07;0;0,17;4,94;-1,53
200805;1,09;1,57;1,6;-0,31;0;0,17;2,22;2,87
200806;-12,26;-11,29;-6,95;-1,05;0;0,17;-8,03;1,08
200807;-0,19;8,89;2,69;3,61;0;0,15;-1,47;3,71
200808;7,91;4,03;0,37;1,46;0;0,12;0,99;3,76
200809;-8,74;-5,63;-1,28;4,48;0;0,15;-9,96;-0,24
200810;-19,8;-25,9;-13,08;-3,13;0;0,08;-18,54;-2,12
200811;-4,5;-11,27;-3,51;-4,93;0;0,02;-8,55;-3,62
200812;2,98;2,06;-0,24;-1,28;0;0,09;2,06;4,04
200901;-12,37;-16,17;-3,33;-9,93;1;0;-7,75;-0,91
200902;-10,96;-17,82;-6,76;-6,73;0;0,01;-10,12;-0,41
200903;15;10,11;5,32;2,55;0;0,01;8,76;0,74
200904;17,54;29,45;2,62;5,74;0;0,01;11,04;5,14
200905;-5,09;1,81;6,74;0,44;0;0;6,73;-2,61
200906;-0,38;1,39;0,67;-2,48;0;0;-0,28;2,64
200907;13,98;17,03;6,03;4,83;0;0,01;8,24;2,48
200908;4,14;7,4;0,22;7,62;0;0,01;3,18;-0,58
200909;-1,54;6,51;3,75;1,5;0;0;4,52;2,36
200910;-6,97;-2,55;-0,32;-4,38;0;0;-2,84;-4,28
200911;5,01;4,3;4,56;0,12;0;0;5,74;-2,83
200912;5,88;4,75;1,46;0,74;0;0;2,92;5,88
201001;-2,98;-3,54;-2,12;0,57;1;0;-3,71;0,43
201002;5,75;9,7;1,74;2,75;0;0;3,54;1,41
201003;5,66;5,48;4,98;2,02;0;0;6,44;1,59
201004;10,74;6,84;-1,36;3,14;0;0;2,02;5
201005;-8,27;-5,42;-4,86;-2,36;0;0,01;-8;-0,03
201006;-14,28;-8,82;-1,97;-4,28;0;0,01;-5,21;-2,05
201007;5,4;4,07;6,67;0,13;0;0,01;7,24;-0,08
201008;-4,59;-3,81;-0,65;-1,71;0;0,01;-4,4;-2,92
201009;10,47;11,55;3,17;-3,14;0;0,01;9,24;3,97
201010;-1,03;1,58;3,98;-2,14;0;0,01;3,89;0,91
